date,news_count,negative_news_count,positive_news_count,negative_news_ratio,positive_news_ratio,category_BIS,category_FOMC,category_UCSB,title_positive_prob,title_negative_prob,title_neutral_prob,title_sentiment_score,body_positive_prob,body_negative_prob,body_neutral_prob,body_sentiment_score,body_emb_0,body_emb_1,body_emb_2,body_emb_3,body_emb_4,body_emb_5,body_emb_6,body_emb_7,body_emb_8,body_emb_9,body_emb_10,body_emb_11,body_emb_12,body_emb_13,body_emb_14,body_emb_15,body_emb_16,body_emb_17,body_emb_18,body_emb_19,body_emb_20,body_emb_21,body_emb_22,body_emb_23,body_emb_24,body_emb_25,body_emb_26,body_emb_27,body_emb_28,body_emb_29
2017-01-12,6,1.0,1.0,0.16666666663888888,0.16666666663888888,0.0,0.0,1.0,0.07978264428675172,0.01980859413743015,0.9004087547461191,0.0599740501493215,0.21379317605399964,0.15217683342215726,0.6340299970590982,0.061616342631842354,0.07821003223458926,-0.0328345550224185,-0.20763556410868964,-0.13546709436923265,-0.05530546543498834,-0.32692190756400424,0.00878217505911986,0.060131133844455086,0.14437304437160492,0.1753444088002046,-0.040273960990210377,0.17361638695001602,-0.1596640224258105,-0.12808463970820108,-0.03968513384461403,-0.04191874759271741,-0.08779558911919594,0.02946497251590093,-0.05534506464997927,0.011263553829242786,0.016020170723398525,-0.058102464924256005,0.014519978935519854,-0.039971817284822464,0.05945424207796653,0.014131786922613779,6.05476088821888e-06,-0.04624957342942556,-0.024968624114990234,0.014039373025298119
2017-01-13,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.530162513256073,0.0263596381992101,0.4434777796268463,0.5038028750568628,0.0495351137446397,0.0733752676193862,0.8770896323492874,-0.0238401538747465,-0.10516815632581711,0.01552453264594078,-0.026424888521432877,-0.01947958581149578,-0.11925452947616577,0.09755636751651764,0.1613798886537552,0.0854039341211319,-0.08896811306476593,-0.024388134479522705,0.026088591665029526,0.03240516781806946,-0.011707112193107605,0.04820229113101959,-0.03596518561244011,-0.04912800341844559,0.07447156310081482,0.06639295816421509,0.021603401750326157,0.015384224243462086,-0.15407371520996094,-0.0029302462935447693,0.020973214879631996,-0.04591736942529678,0.05042640119791031,-0.11954080313444138,-0.1403055489063263,-0.026023171842098236,-0.10804837942123413,-0.03981965780258179
2017-01-16,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1772773414850235,0.0112058324739336,0.8115168213844299,0.1660715090110898,0.293714606374198,0.3139230751532695,0.3923623254228943,-0.0202084687790714,-0.13650929927825928,-0.06152381747961044,-0.10363426804542542,0.2825751304626465,0.07113650441169739,0.22088204324245453,0.09052132070064545,0.23868516087532043,-0.05685830116271973,-0.235945463180542,-0.021491607651114464,0.3010256886482239,0.1471167653799057,-0.07729004323482513,-0.018451381474733353,-0.15118810534477234,-0.07189363241195679,-0.07565400004386902,0.012769069522619247,0.01894524320960045,-0.02505575492978096,-0.040432095527648926,0.09509067237377167,0.031694747507572174,-0.10808216780424118,-0.05536404997110367,0.046762529760599136,-0.049606867134571075,1.3653188943862915e-05,-0.0020623616874217987
2017-01-18,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0320792682468891,0.040970504283905,0.9269501566886902,-0.0088912360370159,0.1003362461924552,0.0523812547326087,0.8472825288772583,0.0479549914598465,-0.02565281093120575,-0.44994089007377625,-0.05637378990650177,-0.013344360515475273,-0.1889728605747223,-0.06521408259868622,-0.00791032612323761,0.0014536678791046143,0.022513091564178467,-0.11553261429071426,-0.04212328791618347,-0.10943444073200226,0.05803819000720978,0.04923200607299805,0.042207345366477966,-0.022496920078992844,-0.037190183997154236,-0.1360979676246643,0.030855964869260788,0.11992038041353226,0.0031017884612083435,-0.11079778522253036,0.07428637892007828,0.03506986051797867,-0.1204979345202446,0.08573446422815323,-0.11183971911668777,0.01794617623090744,0.02797938883304596,-0.044365108013153076
2017-01-24,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1430875845253467,0.014454427175223775,0.8424579948186874,0.12863315735012287,0.04782047252757697,0.06997076187857837,0.8822087546895125,-0.022150289351001398,-0.02571169240400195,-0.02653104020282626,0.014574076980352402,-0.08724581776186824,0.1657593995332718,-0.07064174488186836,0.24001920968294144,0.011042777448892593,0.09260710701346397,-0.02555772475898266,0.05227116262540221,-0.032600780948996544,-0.01970560848712921,0.02935105375945568,0.10227464232593775,-0.025452077738009393,-0.04390712594613433,0.10270855855196714,-0.016377486288547516,-0.0037304144352674484,0.0349660343490541,0.018701709806919098,0.0038483510725200176,-0.00852641835808754,0.05235421750694513,0.0280446857213974,-0.055496950168162584,0.03774450346827507,-0.06846306286752224,-0.006189303006976843
2017-01-25,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2451228983700275,0.041145668365061255,0.713731437921524,0.2039772300049662,0.09776850603520866,0.0372757147997617,0.8649557530879974,0.060492791235446944,0.04324901383370161,-0.1144290640950203,-0.06861049309372902,-0.3443751186132431,-0.10426715761423111,-0.09831851720809937,0.06245924532413483,0.07278646156191826,0.05588579177856445,-0.0016295704990625381,-0.09487441927194595,-0.055269546806812286,0.14150670170783997,0.1208416223526001,0.1281898096203804,0.07295917347073555,-0.03573423624038696,0.040232181549072266,0.0402476005256176,-0.06624692492187023,0.06031213141977787,0.12134018540382385,0.08369850367307663,-0.017220286652445793,0.008616026490926743,0.053666338324546814,-0.00487190205603838,-0.031236562877893448,0.007520850747823715,0.004942316561937332
2017-01-27,1,0.0,1.0,0.0,0.9999999989999999,0.0,0.0,1.0,0.0602011941373348,0.0523957051336765,0.8874030709266663,0.0078054890036582,0.6497008800506592,0.0213309433311224,0.3289682269096374,0.6283699367195368,0.05470580607652664,-0.5191410779953003,0.06570252031087875,0.06329349428415298,-0.07225166261196136,0.007132545113563538,-0.13067513704299927,-0.026562754064798355,0.23621001839637756,-0.12491808086633682,0.0484403520822525,-0.12934856116771698,0.018655866384506226,0.03549029678106308,-0.016731489449739456,0.12658454477787018,0.07399597764015198,-0.007145378738641739,0.02302532270550728,0.03125929832458496,0.14954715967178345,-0.04760051891207695,0.017983684316277504,0.11612958461046219,-0.09134478121995926,0.15535321831703186,-0.087802954018116,-0.07414882630109787,0.016588587313890457,-0.11315802484750748
2017-01-30,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1457459032535553,0.0156945940107107,0.8385595083236694,0.1300513092428445,0.0492187346337994,0.1098233481300823,0.8409579225469114,-0.0606046134962829,-0.12122368067502975,0.02230306714773178,-0.1289968192577362,0.05575327202677727,-0.05556822568178177,0.11558125913143158,0.11289112269878387,0.08934612572193146,-0.2060423046350479,-0.035784877836704254,0.1695335954427719,-0.19854752719402313,-0.05814698338508606,0.07163442671298981,0.3241332769393921,-0.19634881615638733,-0.17886586487293243,0.1571967601776123,-0.07402019202709198,-0.03871944546699524,0.13398274779319763,-0.12107429653406143,0.040868066251277924,0.05273488909006119,0.01065460778772831,0.05952491611242294,-0.08496803790330887,-0.06141863018274307,-0.029783139005303383,0.11592540144920349
2017-02-01,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0257567856460809,0.074908398091793,0.8993348479270935,-0.049151612445712,0.2297664574904124,0.1059629949188257,0.6642705473435915,0.1238034625715866,0.47349441051483154,0.1999320685863495,0.06365305930376053,0.19471687078475952,-0.021788999438285828,0.0063210129737854,-0.021348193287849426,-0.01606098562479019,-0.06370750069618225,-0.03028670698404312,-0.005006087943911552,-0.05113324522972107,0.007274016737937927,-0.010353624820709229,-0.0062122829258441925,0.009581821970641613,-0.01973753236234188,0.0662422627210617,0.004390507936477661,-0.02856934443116188,0.014394395053386688,-0.04313182085752487,0.04828517884016037,0.01858220249414444,-0.01600811630487442,-0.06404974311590195,-0.05777447670698166,-0.06547482311725616,0.02098514512181282,-0.13329540193080902
2017-02-09,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0733060538768768,0.0453848950564861,0.8813090324401855,0.0279211588203907,0.1638350549606765,0.0930135461590501,0.7431513917248309,0.0708215088016263,-0.1336340606212616,0.12363776564598083,-0.06828208267688751,-0.04726140946149826,-0.09557828307151794,0.0602789968252182,0.0829518735408783,0.11065256595611572,-0.07555180788040161,-0.16463109850883484,0.1269686371088028,-0.24235887825489044,-0.013091042637825012,0.04493644833564758,0.2891952097415924,-0.15540383756160736,-0.20788708329200745,0.3062211275100708,0.0639839619398117,-0.03538452833890915,0.042785514146089554,-0.027799613773822784,0.11922848969697952,0.13680779933929443,0.06178753450512886,0.018168576061725616,0.020866721868515015,0.024067774415016174,0.042906440794467926,0.06428761780261993
