date,news_count,category_BIS,category_FOMC,category_UCSB,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_weekend,title_positive_prob,title_negative_prob,title_neutral_prob,title_sentiment_score,body_positive_prob,body_negative_prob,body_neutral_prob,body_sentiment_score,body_n_chunks
2017-01-12,2,0.0,0.0,1.0,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0,0.028800323605537352,0.3392333295196294,0.6319663673639296,-0.31043300591409206,0.2742709381573316,0.06397661646591575,0.661752456651552,0.2102943216914159,8.5
2017-01-13,2,0.0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0,0.2817291524261236,0.0237125344574451,0.6945582628250122,0.2580166179686784,0.035953711624660295,0.09663894405602075,0.8674073476658999,-0.06068523243136035,8.0
2017-01-16,1,0.0,0.0,1.0,0.0,1.0,0.4999999999999999,0.8660254037844387,0.0,0.1772772967815399,0.0112058278173208,0.8115168809890747,0.1660714689642191,0.2937145972475824,0.3139230590832034,0.3923623405383115,-0.020208461835621,3.0
2017-01-17,1,0.0,0.0,1.0,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0.0,0.0985417068004608,0.0195517297834157,0.8819065690040588,0.078989977017045,0.0617071535663124,0.0334866770209461,0.9048061680115536,0.0282204765453662,86.0
2017-01-18,1,0.0,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0,0.0320792682468891,0.040970504283905,0.9269501566886902,-0.0088912360370159,0.1181801897434334,0.1204227968830243,0.7613970157547137,-0.0022426071395909,59.0
2017-01-23,1,0.0,0.0,1.0,0.0,1.0,0.4999999999999999,0.8660254037844387,0.0,0.0399411544203758,0.2287013679742813,0.7313574552536011,-0.1887602135539055,0.0189338631944055,0.3725959729969291,0.6084701511548181,-0.3536621098025235,4.0
2017-01-25,2,0.0,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0,0.2451228983700275,0.041145668365061255,0.713731437921524,0.2039772300049662,0.057322187256155746,0.10585061397938614,0.8368272031110712,-0.04852842672323035,21.5
2017-01-27,3,0.0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999983,0.8660254037844387,0.0,0.1978011019527912,0.0402281923840443,0.7619706988334656,0.15757290956874687,0.1448816003829748,0.09238752434677018,0.7627308823772804,0.05249407603620457,21.0
2017-01-30,3,0.0,0.0,1.0,-0.649951941454549,0.18498604402912364,0.49999999999999983,0.8660254037844387,0.6666666666666666,0.1129762368897597,0.02005600060025847,0.8669677575429281,0.09292023628950113,0.03566827335796847,0.06512266139115887,0.8992090621473817,-0.029454388033190334,13.0
2017-02-01,1,0.0,1.0,0.0,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,0.0,0.0257567819207906,0.074908398091793,0.8993348479270935,-0.0491516161710023,0.2297664574904124,0.1059629949188257,0.6642705473435915,0.1238034625715866,5.0
2017-02-09,1,0.0,0.0,1.0,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.0,0.0733060538768768,0.0453848950564861,0.8813090324401855,0.0279211588203907,0.1638350549606765,0.0930135461590501,0.7431513917248309,0.0708215088016263,13.0
2017-02-13,1,0.0,0.0,1.0,0.0,1.0,0.8660254037844386,0.5000000000000001,0.0,0.029653362929821,0.0284745804965496,0.9418720006942748,0.0011787824332714,0.3302743224305,0.0340189855248311,0.6357066844474311,0.2962553369056688,31.0
2017-02-15,1,0.0,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,0.0,0.0754532292485237,0.0191386844962835,0.9054081439971924,0.0563145447522401,0.1913558503061719,0.097111434002465,0.7115327165764098,0.0942444163037068,30.0
2017-02-16,1,0.0,0.0,1.0,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.0,0.0320792682468891,0.040970504283905,0.9269501566886902,-0.0088912360370159,0.0803337484138691,0.1428044954911017,0.7768617539195454,-0.0624707470772325,105.0
2017-02-22,1,0.0,1.0,0.0,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,0.0,0.027175897732377,0.0513251759111881,0.9214988946914672,-0.024149278178811,0.2672345577553193,0.2079162595586819,0.5248491838948852,0.0593182981966373,123.0
2017-02-24,1,1.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.0,0.0178438890725374,0.78249591588974,0.1996602118015289,-0.7646520268172026,0.0315927315325964,0.3810066885556336,0.587400586225053,-0.3494139570230372,6.0
2017-02-28,1,1.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.0,0.0900467112660408,0.7362759113311768,0.1736773401498794,-0.646229200065136,0.0975005112744915,0.2538298801443907,0.6486695950707984,-0.1563293688698991,6.0
2017-03-06,2,0.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,0.0,0.1691756136715412,0.03702943120151755,0.7937949597835541,0.13214618247002366,0.051595822522048446,0.13333835130306226,0.8150658225631632,-0.08174252878101379,37.5
2017-03-15,1,0.0,1.0,0.0,0.9749279121818236,-0.2225209339563143,1.0,6.123233995736766e-17,0.0,0.0257567819207906,0.074908398091793,0.8993348479270935,-0.0491516161710023,0.3200856565076408,0.070376119856716,0.6095382021674027,0.2497095366509248,5.0
2017-03-17,1,0.0,0.0,1.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.0,0.0503207519650459,0.0321669653058052,0.9175123572349548,0.0181537866592407,0.216252893371833,0.0852067486499841,0.6985403498217194,0.1310461447218489,31.0
2017-03-21,1,0.0,0.0,1.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.0,0.0363672375679016,0.0297621171921491,0.9338706731796264,0.0066051203757524,0.201338000064993,0.0141403090584995,0.7845216840569912,0.1871976910064935,3.0
